               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062515,            0.035688,            0.029573,             0.73464,             0.40654,              0.4008,             0.21497,            0.032575,            0.015423,            0.012027,            0.070093,            0.003323,            0.003323
                   1,            0.045869,            0.027564,            0.016535,             0.91175,             0.46012,             0.52323,             0.33321,            0.028253,             0.01371,           0.0086895,            0.040027,           0.0065904,           0.0065904
                   2,            0.043069,             0.02656,             0.01433,             0.88611,             0.48557,             0.54592,             0.31705,             0.02723,            0.014258,           0.0088014,           0.0098951,           0.0097919,           0.0097919
                   3,            0.039501,            0.026511,            0.013754,              0.8986,             0.48362,             0.54704,              0.3196,            0.027685,            0.015544,           0.0086521,            0.009703,            0.009703,            0.009703
                   4,            0.037272,            0.027136,            0.013073,             0.90041,             0.48042,             0.59395,              0.3584,            0.026536,            0.014804,           0.0085128,            0.009703,            0.009703,            0.009703
                   5,            0.035588,             0.02636,            0.012519,             0.86266,             0.54003,             0.62003,             0.37736,            0.025837,            0.014393,           0.0071843,            0.009604,            0.009604,            0.009604
                   6,            0.034127,            0.025575,            0.011182,             0.76704,             0.59658,             0.62187,             0.40084,            0.024735,            0.014087,           0.0068694,            0.009505,            0.009505,            0.009505
                   7,            0.033435,            0.025496,            0.011017,               0.817,             0.59966,             0.64072,             0.42807,            0.025025,            0.013514,           0.0062329,            0.009406,            0.009406,            0.009406
                   8,            0.032552,            0.025202,            0.010393,             0.80638,             0.61707,              0.6808,             0.43013,             0.02403,            0.015852,           0.0069903,            0.009307,            0.009307,            0.009307
                   9,             0.03194,            0.024897,            0.010147,             0.82492,             0.69593,             0.72764,             0.49969,            0.023238,            0.013296,            0.006286,            0.009208,            0.009208,            0.009208
                  10,            0.031521,            0.024201,           0.0092846,             0.89583,             0.64472,              0.6838,             0.46795,            0.024023,            0.013011,           0.0064137,            0.009109,            0.009109,            0.009109
                  11,            0.030698,            0.024116,            0.009392,             0.87685,             0.60919,             0.68065,             0.47217,            0.022788,            0.013124,           0.0059357,             0.00901,             0.00901,             0.00901
                  12,            0.030565,            0.023828,           0.0090535,             0.85167,             0.62742,             0.68978,             0.45723,            0.024003,             0.01354,           0.0054961,            0.008911,            0.008911,            0.008911
                  13,            0.029635,            0.023886,           0.0091086,             0.86582,              0.6767,             0.72843,             0.49935,            0.022607,            0.012869,           0.0048403,            0.008812,            0.008812,            0.008812
                  14,            0.029933,            0.023707,           0.0086449,             0.85775,             0.66169,             0.70504,             0.49151,            0.022084,            0.013033,           0.0052278,            0.008713,            0.008713,            0.008713
                  15,             0.02973,            0.023543,           0.0085468,              0.8617,             0.67879,             0.70509,             0.48591,            0.023032,            0.012914,           0.0053377,            0.008614,            0.008614,            0.008614
                  16,            0.029085,              0.0231,           0.0085804,             0.90741,             0.71034,             0.76132,             0.52143,            0.022341,            0.012687,           0.0044396,            0.008515,            0.008515,            0.008515
                  17,            0.029021,            0.023514,           0.0082331,             0.82175,             0.65502,             0.71938,             0.50641,            0.021503,            0.012394,           0.0053345,            0.008416,            0.008416,            0.008416
                  18,            0.028621,            0.022927,           0.0077791,              0.8614,             0.72789,             0.74763,             0.52063,             0.02169,            0.012772,           0.0056316,            0.008317,            0.008317,            0.008317
                  19,            0.028331,            0.022958,           0.0077746,             0.92004,             0.69571,             0.76351,             0.52702,             0.02213,             0.01238,           0.0045338,            0.008218,            0.008218,            0.008218
                  20,            0.028259,            0.022508,           0.0074925,             0.91119,              0.6732,             0.73953,             0.51059,            0.022202,            0.012465,           0.0053126,            0.008119,            0.008119,            0.008119
                  21,            0.027274,            0.022598,           0.0070526,             0.89194,              0.7337,             0.74963,             0.55154,            0.021298,            0.012009,           0.0041018,             0.00802,             0.00802,             0.00802
                  22,            0.027718,            0.021825,           0.0069782,               0.847,             0.72667,             0.73731,             0.53025,            0.021845,            0.012443,           0.0042124,            0.007921,            0.007921,            0.007921
                  23,            0.027183,            0.021899,           0.0070746,             0.89784,             0.70483,             0.73995,             0.53231,            0.021324,            0.012221,           0.0043287,            0.007822,            0.007822,            0.007822
                  24,            0.026955,            0.021526,            0.006576,             0.89724,             0.67934,             0.72419,             0.52588,            0.021451,            0.011852,           0.0050229,            0.007723,            0.007723,            0.007723
                  25,            0.026845,            0.021668,           0.0067678,             0.86806,             0.68494,              0.7381,             0.53077,            0.021194,            0.012162,           0.0047937,            0.007624,            0.007624,            0.007624
                  26,            0.026977,            0.021657,           0.0070285,             0.88163,             0.71881,             0.76457,             0.55669,            0.021851,            0.011943,           0.0046489,            0.007525,            0.007525,            0.007525
                  27,            0.026474,            0.021436,           0.0068809,             0.87377,             0.69912,             0.75904,             0.53431,            0.021613,             0.01236,           0.0049094,            0.007426,            0.007426,            0.007426
                  28,            0.026368,            0.021171,           0.0069996,             0.89161,              0.7212,             0.73782,             0.53664,            0.021069,            0.011965,           0.0042653,            0.007327,            0.007327,            0.007327
                  29,            0.026285,            0.021026,           0.0063908,             0.88669,             0.71283,             0.73736,              0.5392,            0.020727,             0.01209,           0.0044417,            0.007228,            0.007228,            0.007228
                  30,            0.025596,            0.021189,            0.006534,              0.9038,             0.67767,             0.76346,             0.54864,            0.020879,            0.012352,           0.0049018,            0.007129,            0.007129,            0.007129
                  31,            0.026165,            0.021156,            0.006221,             0.90214,             0.63886,             0.72187,             0.52797,            0.020271,            0.011772,           0.0051479,             0.00703,             0.00703,             0.00703
                  32,            0.025609,            0.021035,            0.006679,             0.89425,             0.70856,             0.74591,             0.54469,            0.020639,            0.011943,           0.0047764,            0.006931,            0.006931,            0.006931
                  33,            0.025699,            0.021204,           0.0063574,             0.89179,             0.71736,              0.7511,              0.5596,            0.020786,            0.012152,           0.0044325,            0.006832,            0.006832,            0.006832
